"match_id","series","round_num","t_team","ct_team","map_name","winning_team","winning_side","start_tick","end_tick","round_end_reason","ct_buy_type","t_buy_type","is_warmup","created_at"
"2hwmhm2w",3,24,"mastermix123","EC Brugge","de_nuke","mastermix123","T",335036,346903,"TargetBombed","Half Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,25,"mastermix123","EC Brugge","de_nuke","EC Brugge","CT",347799,361708,"CTWin","Half Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,26,"mastermix123","EC Brugge","de_nuke","EC Brugge","CT",362604,374782,"BombDefused","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,27,"mastermix123","EC Brugge","de_nuke","EC Brugge","CT",375678,387070,"BombDefused","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,28,"mastermix123","EC Brugge","de_nuke","mastermix123","T",387966,405450,"TargetBombed","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,29,"mastermix123","EC Brugge","de_nuke","EC Brugge","CT",406346,418079,"CTWin","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2x7q7fae",1,1,"Wildcard","Nouns esports","de_ancient","Wildcard","T",15963,23078,"TerroristsWin","Eco","Eco",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,2,"Wildcard","Nouns esports","de_ancient","Nouns esports","CT",23718,42725,"CTWin","Half Buy","Half Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,3,"Wildcard","Nouns esports","de_ancient","Nouns esports","CT",43365,60594,"CTWin","Full Buy","Half Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,4,"Wildcard","Nouns esports","de_ancient","Nouns esports","CT",61234,74833,"CTWin","Full Buy","Full Eco",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,5,"Wildcard","Nouns esports","de_ancient","Wildcard","T",75473,91412,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,6,"Wildcard","Nouns esports","de_ancient","Nouns esports","CT",92052,109332,"TargetSaved","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,7,"Wildcard","Nouns esports","de_ancient","Nouns esports","CT",109972,120712,"CTWin","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,8,"Wildcard","Nouns esports","de_ancient","Nouns esports","CT",121352,135913,"CTWin","Full Buy","Full Eco",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,9,"Wildcard","Nouns esports","de_ancient","Nouns esports","CT",136553,144491,"CTWin","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,10,"Wildcard","Nouns esports","de_ancient","Nouns esports","CT",145131,153070,"CTWin","Full Buy","Half Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,11,"Wildcard","Nouns esports","de_ancient","Nouns esports","CT",153710,168743,"BombDefused","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,12,"Wildcard","Nouns esports","de_ancient","Nouns esports","CT",169383,186659,"TargetSaved","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,13,"Wildcard","Nouns esports","de_ancient","Wildcard","T",187299,206355,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,14,"Wildcard","Nouns esports","de_ancient","Wildcard","T",206995,218525,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,15,"Wildcard","Nouns esports","de_ancient","Nouns esports","CT",219165,235786,"CTWin","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,16,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",236426,245838,"CTWin","Full Eco","Full Eco",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,17,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",246478,249747,"CTWin","Half Buy","Full Eco",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,18,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",250387,254035,"CTWin","Half Buy","Full Eco",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,19,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",254675,264773,"CTWin","Half Buy","Full Eco",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,20,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",265413,266365,"CTWin","Half Buy","Full Eco",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,21,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",267647,275752,"CTWin","Eco","Eco",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,22,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",276392,286131,"CTWin","Half Buy","Full Eco",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,23,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",286771,299499,"CTWin","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,24,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",300139,308538,"CTWin","Full Buy","Eco",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,25,"Nouns esports","Wildcard","de_ancient","Nouns esports","T",309178,324847,"TargetBombed","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,26,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",325487,338495,"CTWin","Half Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,27,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",339135,352430,"BombDefused","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,28,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",353070,361884,"CTWin","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,29,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",362524,377955,"BombDefused","Full Buy","Half Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,30,"Nouns esports","Wildcard","de_ancient","Nouns esports","T",378595,395730,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,31,"Nouns esports","Wildcard","de_ancient","Nouns esports","T",396370,406619,"TerroristsWin","Full Eco","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,32,"Nouns esports","Wildcard","de_ancient","Nouns esports","T",407259,428221,"TargetBombed","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,33,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",428861,439198,"CTWin","Half Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,34,"Nouns esports","Wildcard","de_ancient","Wildcard","CT",439838,448657,"BombDefused","Full Buy","Eco",False,"2023-06-02 13:29:57.520631+00"
"2x7q7fae",1,35,"Nouns esports","Wildcard","de_ancient","Nouns esports","T",449297,461407,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-02 13:29:57.520631+00"
"3z6hw9ra",1,1,"Shimmer","Nigma Galaxy","de_ancient","Nigma Galaxy","CT",-19,7890,"CTWin","Eco","Eco",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,2,"Shimmer","Nigma Galaxy","de_ancient","Nigma Galaxy","CT",8530,17887,"CTWin","Half Buy","Full Eco",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,3,"Shimmer","Nigma Galaxy","de_ancient","Nigma Galaxy","CT",18527,30890,"CTWin","Full Buy","Full Buy",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,4,"Shimmer","Nigma Galaxy","de_ancient","Nigma Galaxy","CT",31530,41108,"CTWin","Full Buy","Eco",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,5,"Shimmer","Nigma Galaxy","de_ancient","Nigma Galaxy","CT",41748,71257,"BombDefused","Full Buy","Full Buy",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,6,"Shimmer","Nigma Galaxy","de_ancient","Nigma Galaxy","CT",71897,83528,"CTWin","Full Buy","Full Buy",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,7,"Shimmer","Nigma Galaxy","de_ancient","Nigma Galaxy","CT",84168,90369,"CTWin","Full Buy","Half Buy",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,8,"Shimmer","Nigma Galaxy","de_ancient","Shimmer","T",91009,108950,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,9,"Shimmer","Nigma Galaxy","de_ancient","Nigma Galaxy","CT",109590,121572,"BombDefused","Full Buy","Full Buy",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,10,"Shimmer","Nigma Galaxy","de_ancient","Nigma Galaxy","CT",122212,140666,"BombDefused","Full Buy","Full Buy",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,11,"Shimmer","Nigma Galaxy","de_ancient","Nigma Galaxy","CT",141306,159688,"CTWin","Full Buy","Full Buy",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,12,"Shimmer","Nigma Galaxy","de_ancient","Shimmer","T",160328,173801,"TerroristsWin","Full Buy","Half Buy",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,13,"Shimmer","Nigma Galaxy","de_ancient","Nigma Galaxy","CT",174441,195723,"TargetSaved","Full Buy","Full Buy",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,14,"Shimmer","Nigma Galaxy","de_ancient","Nigma Galaxy","CT",196363,211086,"BombDefused","Full Buy","Full Buy",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,15,"Shimmer","Nigma Galaxy","de_ancient","Nigma Galaxy","CT",211726,219157,"CTWin","Full Buy","Full Buy",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,16,"Nigma Galaxy","Shimmer","de_ancient","Nigma Galaxy","T",219797,255166,"TerroristsWin","Eco","Eco",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,17,"Nigma Galaxy","Shimmer","de_ancient","Nigma Galaxy","T",255806,263062,"TerroristsWin","Full Eco","Full Buy",False,"2023-06-03 11:56:32.473531+00"
"3z6hw9ra",1,18,"Nigma Galaxy","Shimmer","de_ancient","Nigma Galaxy","T",263702,272463,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-03 11:56:32.473531+00"
