"match_id","series","round_num","tick","seconds","clock_time","player_steam_id","player_name","player_team","bomb_action","bomb_site","created_at"
"2hwmhm2w",2,27,370931,9.78125,"00:31","76561198315324300","MAGILA-","EC Brugge","defuse_start","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,27,372213,19.796875,"00:21","76561198315324300","MAGILA-","EC Brugge","defuse","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,28,383826,68.71875,"00:47","76561198314392309","n0te","mastermix123","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,28,384216,71.765625,"00:44","76561198314392309","n0te","mastermix123","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,29,393777,49.640625,"01:06","76561198191301766","RONDE","mastermix123","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,29,394165,52.671875,"01:03","76561198191301766","RONDE","mastermix123","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",3,3,51026,61.125,"00:54","76561198315324300","MAGILA-","EC Brugge","plant_begin","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,3,51416,64.171875,"00:51","76561198315324300","MAGILA-","EC Brugge","plant","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,3,52976,12.1875,"00:28","76561198314392309","n0te","mastermix123","defuse_start","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,3,53106,13.203125,"00:27","76561198314392309","n0te","mastermix123","defuse_aborted","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,3,53344,15.0625,"00:25","76561198314392309","n0te","mastermix123","defuse_start","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,3,54622,25.046875,"00:15","76561198314392309","n0te","mastermix123","defuse","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,7,105448,68.296875,"00:47","76561197971923260","simixinho","EC Brugge","plant_begin","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,7,105838,71.34375,"00:44","76561197971923260","simixinho","EC Brugge","plant","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,8,122527,83.359375,"00:32","76561198140853900","Stev0se","EC Brugge","plant_begin","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,8,122919,86.421875,"00:29","76561198140853900","Stev0se","EC Brugge","plant","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,12,174553,95.0703125,"00:20","76561198140853900","Stev0se","EC Brugge","plant_begin","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,12,174943,98.1171875,"00:17","76561198140853900","Stev0se","EC Brugge","plant","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,13,179766,20.84375,"01:35","76561198032071879","n0tice","EC Brugge","plant_begin","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,13,180156,23.890625,"01:32","76561198032071879","n0tice","EC Brugge","plant","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,14,197572,73.046875,"00:42","76561198315324300","MAGILA-","EC Brugge","plant_begin","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,14,197962,76.09375,"00:39","76561198315324300","MAGILA-","EC Brugge","plant","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,14,200178,17.3125,"00:23","76561198100798845","Arttub0b","mastermix123","defuse_start","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,14,200820,22.328125,"00:18","76561198100798845","Arttub0b","mastermix123","defuse","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,15,213650,78.234375,"00:37","76561198246325048","swiiffter","EC Brugge","plant_begin","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,15,214040,81.28125,"00:34","76561198246325048","swiiffter","EC Brugge","plant","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,15,216610,20.078125,"00:20","76561198821532633","eneshan","mastermix123","defuse_start","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,15,216750,21.171875,"00:19","76561198821532633","eneshan","mastermix123","defuse_aborted","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,15,216960,22.8125,"00:18","76561198821532633","eneshan","mastermix123","defuse_start","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,15,217601,27.8203125,"00:13","76561198821532633","eneshan","mastermix123","defuse","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,20,285711,70.3125,"00:45","76561198314392309","n0te","mastermix123","plant_begin","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,20,286103,73.375,"00:42","76561198314392309","n0te","mastermix123","plant","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,21,297849,29.3671875,"01:26","76561198037278295","Beruya","mastermix123","plant_begin","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,21,298239,32.4140625,"01:23","76561198037278295","Beruya","mastermix123","plant","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,21,301561,25.953125,"00:15","76561198032071879","n0tice","EC Brugge","defuse_start","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,21,301775,27.625,"00:13","76561198032071879","n0tice","EC Brugge","defuse_aborted","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,21,302621,34.234375,"00:06","76561198032071879","n0tice","EC Brugge","defuse_start","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,21,303263,39.25,"00:01","76561198032071879","n0tice","EC Brugge","defuse","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,23,333685,89.96875,"00:26","76561198100798845","Arttub0b","mastermix123","plant_begin","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,23,334075,93.015625,"00:22","76561198100798845","Arttub0b","mastermix123","plant","B","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,24,341251,33.546875,"01:22","76561198191301766","RONDE","mastermix123","plant_begin","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,24,341641,36.59375,"01:19","76561198191301766","RONDE","mastermix123","plant","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,26,372333,61.09375,"00:54","76561198314392309","n0te","mastermix123","plant_begin","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,26,372723,64.140625,"00:51","76561198314392309","n0te","mastermix123","plant","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,26,374129,10.984375,"00:30","76561197971923260","simixinho","EC Brugge","defuse_start","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,26,374771,16,"00:24","76561197971923260","simixinho","EC Brugge","defuse","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,27,382682,39.8125,"01:16","76561198037278295","Beruya","mastermix123","plant_begin","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,27,383072,42.859375,"01:13","76561198037278295","Beruya","mastermix123","plant","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,27,386430,26.234375,"00:14","76561197971923260","simixinho","EC Brugge","defuse_start","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,27,387070,31.234375,"00:09","76561197971923260","simixinho","EC Brugge","defuse","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,28,399811,77.53125,"00:38","76561198100798845","Arttub0b","mastermix123","plant_begin","A","2023-06-05 10:25:22.904578+00"
"2hwmhm2w",3,28,400201,80.578125,"00:35","76561198100798845","Arttub0b","mastermix123","plant","A","2023-06-05 10:25:22.904578+00"
"2x7q7fae",1,1,20598,16.203125,"01:39","76561198336814871","WCfreshie","Wildcard","plant_begin","B","2023-06-02 13:29:55.166079+00"
"2x7q7fae",1,1,20622,16.390625,"01:39","76561198336814871","WCfreshie","Wildcard","plant_abort","B","2023-06-02 13:29:55.166079+00"
"2x7q7fae",1,1,21168,20.65625,"01:35","76561198336814871","WCfreshie","Wildcard","plant_begin","B","2023-06-02 13:29:55.166079+00"
"2x7q7fae",1,1,21558,23.703125,"01:32","76561198336814871","WCfreshie","Wildcard","plant","B","2023-06-02 13:29:55.166079+00"
